,TrackID,Predictor
0,230073_463,1
1,230962_471,1
2,218845_1088,1
3,209697_1088,0
4,224445_2142,0
5,237071_2866,1
6,214320_3794,0
7,201913_4101,1
8,220462_4101,1
9,224167_4101,1
10,203714_4101,1
11,245747_4101,1
12,240538_4101,0
13,244168_4101,1
14,207185_4101,1
15,233448_4101,1
16,206410_4101,1
17,202114_5300,0
18,207102_6336,1
19,246304_6466,1
20,247271_7253,1
21,206595_8638,1
22,202037_8638,0
23,245563_9465,1
24,243356_9852,0
25,204573_9852,1
26,240603_9852,1
27,236363_9852,0
28,232965_9852,1
29,240058_9852,0
30,239726_9852,1
31,215211_9852,1
32,207505_9852,1
33,248589_9852,1
34,216462_9852,1
35,215711_9852,0
36,212328_10206,1
37,246974_10206,1
38,204175_10206,1
39,224091_10206,1
40,230042_10206,0
41,223855_10206,1
42,200389_10206,1
43,238386_10206,1
44,211249_10206,0
45,234297_10206,1
46,218411_10206,0
47,229835_10206,0
48,247695_10206,1
49,206278_10206,1
50,216954_10206,1
51,247570_10206,1
52,248071_13840,1
53,247284_15846,0
54,206345_17389,1
55,248927_18051,1
56,239212_18051,1
57,241952_18051,1
58,222077_18979,0
59,222718_18979,1
60,242895_19204,1
61,241915_19530,1
62,241338_19530,0
63,224463_19530,1
64,210321_21220,0
65,241799_21220,1
66,213425_21220,1
67,200098_21220,1
68,231015_21220,1
69,247932_21220,1
70,228209_21220,1
71,219914_21220,0
72,226234_21220,1
73,230135_21220,0
74,222305_22223,0
75,217326_23364,1
76,238810_24171,0
77,242623_29054,1
78,235574_29228,1
79,206939_29228,0
80,208798_29228,1
81,248413_29228,1
82,245085_29228,1
83,203492_29228,1
84,206993_29228,1
85,227946_29228,1
86,213037_29228,1
87,244656_29228,1
88,245140_29228,0
89,231684_29228,1
90,220622_29228,1
91,220013_29228,1
92,235981_29228,1
93,219044_29228,1
94,220631_29228,1
95,235307_29228,0
96,224460_29228,1
97,236947_29228,1
98,209426_29228,1
99,239112_29228,0
100,219042_29228,1
101,221694_29228,1
102,226036_29228,1
103,228645_29228,1
104,217259_29228,1
105,206352_29228,1
106,204178_29228,1
107,202675_29228,1
108,202498_29228,1
109,230812_29228,1
110,226680_29228,1
111,242006_29285,1
112,237986_29744,1
113,235495_29744,0
114,223949_29744,1
115,244008_29744,1
116,223635_29744,1
117,216150_29894,1
118,228037_29894,1
119,213261_29894,0
120,226794_29894,1
121,224817_29894,0
122,243839_29894,1
123,227591_29894,1
124,248292_29894,1
125,244810_29894,1
126,230445_29894,1
127,210494_29894,1
128,226395_29894,1
129,235990_29894,1
130,224326_29894,1
131,241399_29894,1
132,248349_29894,1
133,201339_29894,1
134,220850_29894,0
135,242904_29894,1
136,226303_29894,0
137,247930_29894,1
138,232613_29894,1
139,211647_29894,1
140,204936_29894,0
141,223722_29894,1
142,214151_29894,1
143,218740_29894,1
144,234350_29894,1
145,206433_29894,1
146,218627_29894,1
147,244889_29894,1
148,201061_29894,0
149,202642_29894,1
150,215531_29894,1
151,247337_29894,1
152,240605_29894,0
153,235958_29894,1
154,231433_29894,1
155,228069_29894,0
156,208393_29894,1
157,245481_29894,1
158,216078_29894,1
159,223523_29894,1
160,232920_29894,1
161,200437_29894,1
162,200072_29894,1
163,212278_29894,1
164,232056_29894,1
165,210002_29894,0
166,231162_29894,1
167,204010_29894,1
168,232632_29894,0
169,210779_29894,1
170,204028_29894,0
171,238529_29894,1
172,247365_29894,1
173,202100_29894,1
174,227168_29894,1
175,233920_30970,0
176,246089_30970,1
177,227486_34061,1
178,244494_35912,1
179,227935_35947,0
180,212045_35947,1
181,239212_36131,1
182,218594_36131,1
183,244922_36131,1
184,236169_36131,1
185,243579_36131,1
186,242303_36224,1
187,213920_36224,1
188,225802_36224,1
189,236670_36538,1
190,232128_36538,1
191,214344_36538,1
192,202659_41575,1
193,221803_41575,0
194,203392_41575,1
195,229250_47084,1
196,201091_47084,1
197,208183_47084,1
198,241573_47084,1
199,236273_47084,1
200,205963_47084,1
201,215166_47084,0
202,229527_47084,0
203,231724_47084,0
204,223881_47084,1
205,211216_47084,1
206,248801_47084,0
207,225691_47084,1
208,240168_47084,1
209,200394_47084,1
210,200459_47084,1
211,227324_47084,0
212,231902_47084,1
213,202908_48254,0
214,202371_48254,1
215,224795_48254,1
216,232281_49855,1
217,205693_50348,0
218,208835_56640,1
219,213318_56680,1
220,224230_56741,1
221,231511_57039,1
222,227901_57201,1
223,204759_57380,1
224,240404_58797,1
225,201331_64121,1
226,208406_64590,1
227,235055_64628,0
228,242161_64822,1
229,233520_65220,1
230,246986_65220,1
231,212045_65220,1
232,224736_67376,1
233,209357_67492,1
234,220211_67492,1
235,240059_67492,0
236,230777_67753,1
237,216127_67782,1
238,223305_67782,0
239,213665_67782,1
240,244034_67782,1
241,207235_67782,1
242,234461_67782,1
243,217335_67782,0
244,209259_68098,0
245,224759_69048,1
246,200728_70355,0
247,221138_71510,1
248,217423_71510,0
249,201902_71510,1
250,241006_71510,1
251,246667_71510,1
252,246685_71510,1
253,221412_71510,1
254,246736_71510,1
255,207820_71510,1
256,231164_71527,1
257,218515_74836,1
258,200564_75294,0
259,235823_75614,1
260,226234_76493,0
261,243650_77422,0
