Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
10.0,2006.0,10.0,82.53,7.6,51.0,8.0,322.0,1.0
10.0,2008.0,6.0,35.52,8.2,73.0,8.3,709.0,1.0
10.0,2009.0,10.0,32.77,8.0,73.0,8.0,192.0,1.0
1.0,2006.0,4.0,29.8,8.9,65.0,8.5,431.0,1.0
10.0,2006.0,3.0,28.92,5.8,41.0,6.6,129.0,1.0
10.0,2009.0,4.0,28.32,8.7,80.0,8.4,594.0,1.0
1.0,2005.0,9.0,24.67,7.1,23.0,7.4,27.0,2.0
1.0,2005.0,6.0,23.21,9.1,64.0,8.6,464.0,1.0
10.0,2007.0,10.0,22.7,8.0,63.0,7.7,146.0,1.0
12.0,2010.0,3.0,21.81,6.1,45.0,6.3,106.0,1.0
10.0,2009.0,10.0,21.79,8.0,33.0,7.4,52.0,1.0
6.0,2013.0,0.0,21.04,9.7,50.0,8.2,3994.0,5.0
5.0,2004.0,0.0,20.81,9.5,80.0,9.0,1588.0,5.0
1.0,2005.0,3.0,20.15,7.7,58.0,7.9,50.0,1.0
1.0,2006.0,7.0,18.25,7.1,23.0,7.4,27.0,2.0
12.0,2013.0,0.0,16.27,9.7,58.0,8.1,3711.0,5.0
5.0,2002.0,0.0,16.15,9.5,62.0,8.7,730.0,5.0
1.0,2005.0,5.0,15.29,7.7,37.0,7.1,19.0,1.0
1.0,2010.0,7.0,15.14,7.1,23.0,7.4,27.0,2.0
5.0,2001.0,6.0,14.98,9.5,54.0,8.4,314.0,1.0
12.0,2011.0,8.0,14.73,8.8,81.0,3.4,8713.0,5.0
7.0,2015.0,8.0,14.63,7.1,23.0,7.4,27.0,2.0
12.0,2010.0,8.0,14.61,8.7,89.0,6.3,1454.0,5.0
0.0,2013.0,7.0,14.6,7.1,23.0,7.4,27.0,2.0
6.0,2012.0,8.0,13.79,8.3,21.0,5.3,922.0,5.0
12.0,2012.0,8.0,13.67,8.3,73.0,4.8,2256.0,5.0
12.0,2009.0,8.0,13.47,9.4,100.0,6.3,2698.0,5.0
6.0,2011.0,8.0,13.32,8.8,39.0,3.2,5234.0,5.0
5.0,2001.0,0.0,13.1,9.7,56.0,8.5,664.0,5.0
10.0,2008.0,2.0,12.84,9.3,81.0,8.9,1662.0,7.0
0.0,2011.0,6.0,12.66,8.5,73.0,8.2,632.0,1.0
6.0,2010.0,8.0,12.63,8.8,58.0,6.4,1094.0,5.0
7.0,2014.0,0.0,12.61,9.7,66.0,8.3,2899.0,5.0
1.0,2005.0,9.0,12.13,8.6,57.0,8.7,242.0,1.0
12.0,2007.0,8.0,12.12,9.4,86.0,7.8,4100.0,5.0
2.0,1996.0,4.0,11.89,7.1,23.0,7.4,27.0,2.0
1.0,2009.0,0.0,11.77,7.1,23.0,7.4,27.0,2.0
0.0,2014.0,7.0,11.68,7.1,23.0,7.4,27.0,2.0
5.0,2004.0,6.0,11.66,8.9,74.0,8.5,272.0,1.0
10.0,2007.0,4.0,11.35,9.7,73.0,8.9,2147.0,1.0
12.0,2008.0,0.0,11.01,9.8,86.0,7.9,2951.0,5.0
4.0,1997.0,6.0,10.95,9.6,16.0,8.7,138.0,1.0
0.0,2011.0,4.0,10.81,9.0,82.0,8.4,921.0,1.0
6.0,2010.0,6.0,10.7,8.4,82.0,7.5,1112.0,1.0
6.0,2009.0,8.0,10.6,9.4,67.0,6.3,2073.0,5.0
6.0,2008.0,0.0,10.5,9.8,64.0,7.5,2833.0,5.0
1.0,2004.0,4.0,10.3,7.1,23.0,7.4,27.0,2.0
12.0,2013.0,8.0,10.25,7.3,29.0,2.6,2117.0,5.0
10.0,2011.0,3.0,10.12,7.4,15.0,7.8,16.0,2.0
0.0,2012.0,4.0,9.9,7.8,70.0,7.2,424.0,1.0
2.0,1996.0,6.0,9.87,7.1,23.0,7.4,27.0,2.0
12.0,2010.0,8.0,9.86,9.1,99.0,7.9,2045.0,5.0
4.0,1997.0,7.0,9.72,9.2,20.0,9.2,1282.0,7.0
12.0,2012.0,8.0,9.71,8.7,87.0,7.0,3260.0,5.0
4.0,1999.0,6.0,9.49,9.3,23.0,9.0,135.0,7.0
10.0,2010.0,3.0,9.44,7.4,24.0,7.3,24.0,2.0
6.0,2013.0,8.0,9.36,7.1,10.0,2.6,1047.0,5.0
12.0,2007.0,8.0,9.31,9.4,70.0,8.4,1320.0,5.0
12.0,2013.0,3.0,9.18,7.1,23.0,7.4,27.0,2.0
0.0,2012.0,9.0,9.16,8.8,70.0,8.7,626.0,1.0
1.0,2007.0,3.0,8.91,7.2,27.0,7.8,85.0,1.0
12.0,2011.0,7.0,8.79,9.6,89.0,8.4,3589.0,5.0
7.0,2015.0,10.0,8.57,8.2,42.0,4.3,896.0,1.0
13.0,2004.0,8.0,8.49,9.5,91.0,8.2,1218.0,5.0
10.0,2010.0,3.0,8.38,6.8,42.0,7.4,54.0,1.0
10.0,2007.0,3.0,8.27,6.2,41.0,6.3,190.0,1.0
6.0,2012.0,0.0,8.16,8.8,37.0,6.6,348.0,1.0
2.0,1997.0,8.0,8.09,7.1,23.0,7.4,27.0,2.0
1.0,2012.0,7.0,8.07,7.1,23.0,7.4,27.0,2.0
5.0,2001.0,7.0,8.05,9.2,53.0,8.7,1056.0,7.0
3.0,2009.0,9.0,8.01,8.6,75.0,7.6,886.0,7.0
10.0,2007.0,10.0,7.99,7.1,23.0,7.4,27.0,2.0
7.0,2015.0,8.0,7.98,7.1,23.0,7.4,27.0,2.0
4.0,1999.0,7.0,7.86,9.0,24.0,8.6,644.0,7.0
1.0,2008.0,7.0,7.72,8.3,46.0,8.5,203.0,1.0
8.0,2005.0,0.0,7.69,8.8,65.0,7.6,451.0,5.0
7.0,2014.0,8.0,7.66,8.3,39.0,5.7,1443.0,5.0
2.0,1998.0,0.0,7.6,7.1,23.0,7.4,27.0,2.0
7.0,2016.0,10.0,7.59,8.5,41.0,5.0,398.0,1.0
4.0,1997.0,4.0,7.58,7.1,23.0,7.4,27.0,2.0
0.0,2014.0,2.0,7.55,7.1,23.0,7.4,27.0,2.0
10.0,2010.0,4.0,7.51,9.7,87.0,9.1,1854.0,1.0
14.0,2015.0,8.0,7.39,7.1,23.0,7.4,27.0,2.0
12.0,2008.0,8.0,7.38,8.4,84.0,7.6,580.0,5.0
12.0,2011.0,8.0,7.32,8.4,57.0,7.4,2142.0,5.0
5.0,2003.0,6.0,7.2,8.5,33.0,8.6,171.0,1.0
10.0,2009.0,3.0,7.2,4.9,21.0,8.0,110.0,2.0
6.0,2011.0,8.0,7.17,8.5,38.0,7.5,1761.0,5.0
7.0,2015.0,7.0,7.16,8.7,58.0,6.5,4228.0,5.0
4.0,1998.0,2.0,7.16,9.6,15.0,9.1,367.0,7.0
10.0,2006.0,0.0,7.15,9.5,73.0,9.0,1658.0,7.0
0.0,2016.0,7.0,7.14,7.1,23.0,7.4,27.0,2.0
4.0,1998.0,4.0,7.13,9.1,12.0,8.9,432.0,1.0
11.0,2014.0,6.0,7.09,8.8,82.0,9.1,1599.0,1.0
5.0,2004.0,6.0,6.9,8.2,39.0,8.6,132.0,1.0
5.0,2002.0,8.0,6.83,8.8,29.0,8.5,135.0,7.0
4.0,1996.0,4.0,6.82,7.1,23.0,7.4,27.0,2.0
10.0,2012.0,3.0,6.76,7.4,10.0,7.3,28.0,2.0
12.0,2008.0,8.0,6.75,9.3,90.0,7.7,2739.0,5.0
6.0,2011.0,0.0,6.74,9.2,97.0,8.3,3712.0,7.0
10.0,2010.0,10.0,6.71,7.1,23.0,7.4,27.0,1.0
6.0,2007.0,8.0,6.68,9.4,44.0,8.4,993.0,5.0
6.0,2009.0,0.0,6.66,9.6,105.0,8.8,5187.0,7.0
6.0,2011.0,10.0,6.65,7.1,23.0,7.4,27.0,2.0
1.0,2005.0,3.0,6.62,7.4,45.0,7.4,27.0,1.0
6.0,2010.0,0.0,6.49,9.5,73.0,8.8,2456.0,5.0
6.0,2013.0,10.0,6.47,8.6,37.0,4.3,576.0,1.0
6.0,2012.0,0.0,6.45,8.5,41.0,6.9,1307.0,5.0
10.0,2010.0,4.0,6.44,8.7,77.0,8.6,368.0,1.0
13.0,2001.0,8.0,6.43,9.7,68.0,8.6,1283.0,5.0
6.0,2011.0,7.0,6.41,9.2,16.0,6.4,2527.0,5.0
5.0,2002.0,7.0,6.4,8.5,46.0,8.8,597.0,1.0
12.0,2009.0,8.0,6.34,8.3,94.0,7.1,1163.0,5.0
12.0,2010.0,0.0,6.32,9.5,96.0,9.0,2316.0,5.0
3.0,2004.0,7.0,6.29,9.3,57.0,7.3,2182.0,7.0
4.0,1999.0,0.0,6.27,8.7,22.0,8.1,78.0,7.0
12.0,2011.0,8.0,6.21,9.1,96.0,7.8,1504.0,5.0
12.0,2010.0,10.0,6.19,7.3,51.0,7.4,95.0,2.0
12.0,2006.0,8.0,6.09,9.4,88.0,8.3,2295.0,5.0
7.0,2014.0,10.0,6.08,8.2,47.0,5.7,988.0,1.0
5.0,2001.0,0.0,6.05,9.6,42.0,8.7,1026.0,5.0
4.0,1998.0,0.0,6.03,9.4,20.0,9.4,918.0,5.0
6.0,2008.0,0.0,5.99,9.4,82.0,8.7,3558.0,5.0
5.0,2006.0,7.0,5.95,9.2,64.0,7.6,972.0,7.0
6.0,2013.0,0.0,5.87,9.5,98.0,9.1,8003.0,5.0
6.0,2008.0,4.0,5.82,9.5,85.0,6.8,5311.0,1.0
4.0,1998.0,0.0,5.82,8.9,13.0,9.2,364.0,5.0
1.0,2009.0,7.0,5.78,8.7,65.0,8.8,197.0,2.0
4.0,1996.0,2.0,5.74,8.9,8.0,8.9,102.0,7.0
7.0,2014.0,8.0,5.64,7.6,95.0,6.1,5380.0,7.0
10.0,2007.0,0.0,5.64,8.0,17.0,8.9,62.0,2.0
1.0,2006.0,9.0,5.63,6.7,35.0,7.2,21.0,1.0
2.0,1999.0,2.0,5.55,7.1,23.0,7.4,27.0,2.0
6.0,2009.0,0.0,5.55,9.1,70.0,8.6,1202.0,5.0
12.0,2007.0,1.0,5.54,8.1,77.0,7.7,1074.0,5.0
12.0,2009.0,6.0,5.49,9.2,90.0,8.0,516.0,1.0
8.0,2008.0,7.0,5.48,8.1,48.0,8.7,124.0,7.0
6.0,2011.0,0.0,5.48,9.6,42.0,8.6,2162.0,7.0
14.0,2014.0,0.0,5.48,9.7,14.0,7.9,764.0,5.0
2.0,1999.0,11.0,5.45,7.1,23.0,7.4,27.0,2.0
5.0,2001.0,4.0,5.42,6.6,22.0,7.1,156.0,1.0
6.0,2008.0,8.0,5.39,8.5,45.0,7.6,409.0,5.0
7.0,2016.0,8.0,5.38,9.3,113.0,7.9,7064.0,7.0
6.0,2009.0,7.0,5.33,8.3,83.0,7.3,2483.0,7.0
4.0,2000.0,7.0,5.3,9.4,22.0,8.9,779.0,7.0
12.0,2012.0,0.0,5.29,8.4,61.0,6.7,1196.0,5.0
5.0,2003.0,7.0,5.29,8.5,45.0,6.6,400.0,7.0
2.0,1999.0,4.0,5.27,7.1,23.0,7.4,27.0,2.0
14.0,2014.0,8.0,5.27,8.1,53.0,5.4,898.0,5.0
6.0,2014.0,3.0,5.26,7.1,23.0,7.4,27.0,2.0
12.0,2009.0,0.0,5.26,9.0,82.0,8.8,1305.0,5.0
